saving,actual_price,diff,make,odometer,year,model,body_style,kbb_price,state,city,ext_color,int_color,car_url,drive_line,transmission,city_fuel_economy,engine,doors,vin,zipCode,driveTrain,classification,trim,uuid,account_id
0.0,19498,0,GMC,41228,2019,Terrain,SUV,19498,NY,Rockville Centre,Quicksilver,BLA,https://www.hertzcarsales.com/certified/GMC/2019-GMC-Terrain-384be8560a0e0a1774ba5a3bc2e66992.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,3GKALVEV2KL206623,11570,All-wheel Drive,primary,SLT,384be8560a0e0a1774ba5a3bc2e66992,hertzcarsalesrockvillecenter
0.0,19498,0,GMC,44491,2019,Terrain,SUV,19498,NY,Rockville Centre,Ebony Twilight,BLA,https://www.hertzcarsales.com/certified/GMC/2019-GMC-Terrain-28ceaf8f0a0e0ae827b60b998b3d43b4.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,3GKALVEV9KL239392,11570,All-wheel Drive,primary,SLT,28ceaf8f0a0e0ae827b60b998b3d43b4,hertzcarsalesrockvillecenter
0.0,19498,0,Nissan,16765,2020,Rogue,SUV,19498,NY,Rockville Centre,Magnetic Black Pearl,Charcoal,https://www.hertzcarsales.com/certified/Nissan/2020-Nissan-Rogue-a3b3467a0a0e0a6b1353a9356584e792.htm,Front-wheel Drive,Automatic,26,I-4 cyl,4,JN8AT2MT2LW010997,11570,Front-wheel Drive,primary,S,a3b3467a0a0e0a6b1353a9356584e792,hertzcarsalesrockvillecenter
0.0,19998,0,Jeep,28313,2019,Compass,SUV,19998,NY,Rockville Centre,White,Ruby Red/Black,https://www.hertzcarsales.com/certified/Jeep/2019-Jeep-Compass-7b502d1f0a0e0ae7126286ae4063e86d.htm,4x4,Automatic,22,I-4 cyl,4,3C4NJDDB5KT728554,11570,4x4,primary,Trailhawk,7b502d1f0a0e0ae7126286ae4063e86d,hertzcarsalesrockvillecenter
0.0,21498,0,Buick,5626,2020,Encore,SUV,21498,NY,Rockville Centre,Summit White,BLA,https://www.hertzcarsales.com/certified/Buick/2020-Buick-Encore-763dbb330a0e0a1774ba5a3b64cf946f.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,KL4CJGSB4LB044457,11570,All-wheel Drive,primary,Essence,763dbb330a0e0a1774ba5a3b64cf946f,hertzcarsalesrockvillecenter
0.0,21498,0,Jeep,17694,2019,Compass,SUV,21498,NY,Rockville Centre,Granite Crystal,Ruby Red/Black,https://www.hertzcarsales.com/certified/Jeep/2019-Jeep-Compass-7b502fa90a0e0ae7126286aefd81f091.htm,4x4,Automatic,22,I-4 cyl,4,3C4NJDDB1KT721603,11570,4x4,primary,Trailhawk,7b502fa90a0e0ae7126286aefd81f091,hertzcarsalesrockvillecenter
0.0,23498,0,Toyota,27274,2019,RAV4,SUV,23498,NY,Rockville Centre,Gray,Magnetic,BLA,https://www.hertzcarsales.com/certified/Toyota/2019-Toyota-RAV4-7b5041900a0d04fe088d71cf87921a09.htm,All-wheel Drive,Automatic,25,I-4 cyl,4,2T3P1RFV8KW026721,11570,All-wheel Drive,primary,XLE,7b5041900a0d04fe088d71cf87921a09,hertzcarsalesrockvillecenter
0.0,23998,0,Ford,22690,2019,Edge,SUV,23998,NY,Rockville Centre,Magnetic,BLA,https://www.hertzcarsales.com/certified/Ford/2019-Ford-Edge-8fe66b490a0e0ae87f9646bba545f5e4.htm,Front-wheel Drive,Automatic,22,I-4 cyl,4,2FMPK3J93KBC24349,11570,Front-wheel Drive,primary,SEL,8fe66b490a0e0ae87f9646bba545f5e4,hertzcarsalesrockvillecenter
0.0,24998,0,Ford,9280,2020,Edge,SUV,24998,NY,Rockville Centre,Agate Black,BLA,https://www.hertzcarsales.com/certified/Ford/2020-Ford-Edge-66b0aded0a0e0adf45cbab02b333afc8.htm,Front-wheel Drive,Automatic,21,I-4 cyl,4,2FMPK3J93LBA45259,11570,Front-wheel Drive,primary,SEL,66b0aded0a0e0adf45cbab02b333afc8,hertzcarsalesrockvillecenter
0.0,25498,0,Ford,14217,2020,Edge,SUV,25498,NY,Rockville Centre,Agate Black,BLA,https://www.hertzcarsales.com/certified/Ford/2020-Ford-Edge-66b0a9110a0e0adf45cbab02e4154814.htm,All-wheel Drive,Automatic,21,I-4 cyl,4,2FMPK4J94LBA44675,11570,All-wheel Drive,primary,SEL,66b0a9110a0e0adf45cbab02e4154814,hertzcarsalesrockvillecenter
